Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,28.5,83.7,Presence,20
0,28.5,83.7,Presence,20
0,28.5,83.7,Presence,20
0,28.5,83.7,Presence,20
0,28.5,83.7,Presence,20
0,28.5,83.7,Presence,20
0,28.5,83.7,Presence,20
0,28.5,83.7,Presence,20
0,28.5,83.7,Presence,20
0,28.5,83.7,Presence,20
0,28.5,83.7,Presence,20
0,28.5,83.7,Presence,20
0,28.5,83.7,Presence,20
0,28.5,83.7,Presence,20
0,28.5,83.7,Presence,20
0,28.5,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,24.3,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,25.1,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,23.4,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
0,26.8,83.7,Presence,20
